SourcePort,DestPort,FlowDuration,TotalFwdPackets,TotalBwdPackets,BwdInitWinBytes,FwdInitWinBytes,StartTime,Label,Label
53063,443,0.9338629245758057,6.0,9.0,16384,513,1701220429.791587,Non-Tor,Browsing
53112,443,122.71698093414307,16.0,13.0,8192,64240,1701220429.812016,Non-Tor,Browsing
53034,443,314.97898602485657,9.0,12.0,59,510,1701220430.073699,Non-Tor,Browsing
52986,443,301.13785099983215,10.0,5.0,7260,510,1701220432.388184,Non-Tor,Browsing
53124,443,221.32781505584717,14.0,15.0,65535,64240,1701220442.910531,Non-Tor,Browsing
53074,443,0.06478500366210938,2.0,2.0,16384,510,1701220443.034091,Non-Tor,Browsing
53125,443,60.822160959243774,11.0,11.0,65535,64240,1701220443.034476,Non-Tor,Browsing
52973,443,315.1828348636627,16.0,8.0,8066,511,1701220445.617288,Non-Tor,Browsing
53127,443,90.52394509315491,13.0,12.0,65535,64240,1701220445.684855,Non-Tor,Browsing
53019,443,320.14762115478516,18.0,9.0,2046,511,1701220446.902669,Non-Tor,Browsing
53060,443,0.0,1.0,2.0,16382,514,1701220456.834711,Non-Tor,Browsing
53059,443,0.0,1.0,2.0,16384,513,1701220456.992636,Non-Tor,Browsing
52966,443,280.79499912261963,16.0,8.0,2044,514,1701220459.073391,Non-Tor,Browsing
53086,443,0.06740403175354004,2.0,1.0,16380,513,1701220478.750606,Non-Tor,Browsing
53193,443,60.744680881500244,11.0,11.0,65535,64240,1701220503.781892,Non-Tor,Browsing
53197,443,90.57280993461609,13.0,14.0,65535,64240,1701220506.50833,Non-Tor,Browsing
53272,443,60.538114070892334,12.0,14.0,65535,64240,1701220564.468577,Non-Tor,Browsing
53357,443,60.39481806755066,12.0,15.0,65535,64240,1701220624.943925,Non-Tor,Browsing
53472,443,60.32505798339844,9.0,10.0,65535,64240,1701220685.284678,Non-Tor,Browsing
53519,443,0.27818989753723145,8.0,7.0,65535,64240,1701220743.612421,Non-Tor,Browsing
53522,443,0.8441858291625977,9.0,9.0,65535,64240,1701220745.561253,Non-Tor,Browsing
53523,443,0.570918083190918,12.0,9.0,65535,64240,1701220746.143317,Non-Tor,Browsing
53019,443,440.14770102500916,24.0,12.0,2044,509,1701220846.888777,Non-Tor,Browsing
52973,443,450.22415709495544,22.0,11.0,7682,511,1701220850.695555,Non-Tor,Browsing
52986,443,240.13165807724,4.0,2.0,8192,513,1701220855.925154,Non-Tor,Browsing
52966,443,441.30629205703735,24.0,12.0,2048,512,1701220860.016337,Non-Tor,Browsing
53034,443,434.9162290096283,12.0,16.0,59,514,1701220865.052629,Non-Tor,Browsing
53613,443,90.667160987854,12.0,12.0,65535,64240,1701220866.527213,Non-Tor,Browsing
53568,443,0.06923890113830566,2.0,2.0,16384,510,1701220866.62649,Non-Tor,Browsing
53614,443,60.45532298088074,11.0,13.0,65535,64240,1701220866.626738,Non-Tor,Browsing
53615,443,90.81481385231018,13.0,13.0,65535,64240,1701220867.020095,Non-Tor,Browsing
443,53519,120.07663202285767,4.0,3.0,513,16384,1701220874.49336,Non-Tor,Browsing
53566,443,0.05984807014465332,2.0,2.0,2049,511,1701220880.946065,Non-Tor,Browsing
53800,443,421.71030592918396,1131.0,1402.0,42340,64240,1701220897.442578,Non-Tor,Browsing
53835,443,60.34385418891907,11.0,9.0,65535,64240,1701220927.017279,Non-Tor,Browsing
53872,443,106.7265100479126,14.0,11.0,65535,64240,1701220943.792844,Non-Tor,Browsing
53903,443,1.0824940204620361,18.0,18.0,65535,64240,1701220980.148102,Non-Tor,Browsing
53912,443,60.45414900779724,11.0,16.0,65535,64240,1701220987.407713,Non-Tor,Browsing
53958,443,110.04543900489807,11.0,8.0,65535,65535,1701221023.614973,Non-Tor,Browsing
53112,443,237.62610411643982,3.0,2.0,7895,512,1701221040.055671,Non-Tor,Browsing
53988,443,239.64929604530334,16.0,14.0,65535,64240,1701221044.1499,Non-Tor,Browsing
53998,443,92.18389797210693,18.0,15.0,65535,64240,1701221046.756115,Non-Tor,Browsing
53999,443,90.55403304100037,8.0,8.0,65535,64240,1701221046.877933,Non-Tor,Browsing
54002,443,60.33648419380188,9.0,10.0,65535,64240,1701221047.799656,Non-Tor,Browsing
54063,443,60.4230580329895,12.0,17.0,65535,64240,1701221108.074274,Non-Tor,Browsing
54155,443,60.3579888343811,9.0,9.0,65535,64240,1701221168.43706,Non-Tor,Browsing
54198,443,0.6145420074462891,11.0,9.0,65535,65535,1701221225.901913,Non-Tor,Browsing
54200,443,91.42391395568848,15.0,15.0,65535,64240,1701221226.407361,Non-Tor,Browsing
54202,443,60.39377403259277,9.0,9.0,65535,64240,1701221228.716493,Non-Tor,Browsing
54240,443,0.49272799491882324,10.0,9.0,64240,64240,1701221277.840056,Non-Tor,Browsing
54246,443,0.5726559162139893,12.0,9.0,65535,64240,1701221286.540723,Non-Tor,Browsing
54247,443,0.6088728904724121,6.0,7.0,65535,64240,1701221286.675919,Non-Tor,Browsing
54251,443,0.27318906784057617,7.0,7.0,65535,64240,1701221289.050999,Non-Tor,Browsing
443,56310,237.47807598114014,7105.0,6180.0,510,21,1701226746.119785,Non-Tor,Browsing
56271,443,0.10995006561279297,2.0,1.0,501,515,1701226767.380223,Non-Tor,Browsing
56278,443,0.11551189422607422,2.0,1.0,501,510,1701226767.380454,Non-Tor,Browsing
56279,443,0.1157219409942627,2.0,1.0,501,510,1701226767.3806,Non-Tor,Browsing
56275,443,0.11576199531555176,2.0,1.0,501,510,1701226767.380708,Non-Tor,Browsing
56277,443,0.11582207679748535,2.0,1.0,501,510,1701226767.380813,Non-Tor,Browsing
56276,443,0.11526608467102051,2.0,1.0,501,510,1701226767.380923,Non-Tor,Browsing
56259,443,180.15274906158447,10.0,5.0,8108,512,1701226778.195272,Non-Tor,Browsing
56280,443,0.0,1.0,2.0,16384,513,1701226783.322892,Non-Tor,Browsing
56316,443,0.09219908714294434,2.0,2.0,16384,510,1701226798.219686,Non-Tor,Browsing
56449,443,60.494062185287476,12.0,13.0,65535,64240,1701226798.220528,Non-Tor,Browsing
56465,443,0.5052840709686279,11.0,11.0,8192,64240,1701226809.433461,Non-Tor,Browsing
56466,443,60.51651191711426,10.0,10.0,64240,64240,1701226809.627378,Non-Tor,Browsing
56467,443,0.9894938468933105,11.0,7.0,65535,65535,1701226809.976077,Non-Tor,Browsing
56468,443,0.989171028137207,11.0,8.0,65535,65535,1701226809.976124,Non-Tor,Browsing
56291,443,0.0961768627166748,2.0,1.0,16384,1022,1701226814.617773,Non-Tor,Browsing
56515,443,60.495200872421265,11.0,13.0,65535,64240,1701226858.60661,Non-Tor,Browsing
56568,443,0.3704349994659424,9.0,6.0,65535,65535,1701226911.425611,Non-Tor,Browsing
56594,443,60.4541540145874,10.0,11.0,65535,64240,1701226919.053653,Non-Tor,Browsing
56606,443,45.57332992553711,13.0,10.0,65535,64240,1701226924.799132,Non-Tor,Browsing
56266,443,0.0,1.0,1.0,7705,511,1701226934.822412,Non-Tor,Browsing
56644,443,0.34268999099731445,9.0,10.0,65535,64240,1701226979.458681,Non-Tor,Browsing
56648,443,0.10180902481079102,3.0,2.0,65535,65535,1701226984.382476,Non-Tor,Browsing
56649,443,0.0,1.0,1.0,65535,65535,1701226984.659424,Non-Tor,Browsing
443,56707,243.70477080345154,3908.0,3139.0,515,21,1701227033.136974,Non-Tor,Browsing
56568,443,0.06749391555786133,2.0,1.0,16384,1022,1701227034.606848,Non-Tor,Browsing
56644,443,0.07648897171020508,2.0,2.0,16384,510,1701227039.814587,Non-Tor,Browsing
56713,443,60.52097797393799,11.0,13.0,65535,64240,1701227039.814971,Non-Tor,Browsing
56259,443,225.21150994300842,12.0,6.0,7854,513,1701227048.231523,Non-Tor,Browsing
56465,443,0.0,1.0,1.0,7990,514,1701227054.904402,Non-Tor,Browsing
56649,443,0.15339899063110352,2.0,1.0,16379,1022,1701227094.240968,Non-Tor,Browsing
56796,443,60.4657199382782,11.0,13.0,65535,64240,1701227100.270108,Non-Tor,Browsing
56872,443,60.483726024627686,12.0,14.0,65535,64240,1701227160.635177,Non-Tor,Browsing
56266,443,0.1083071231842041,2.0,1.0,7606,511,1701227169.640339,Non-Tor,Browsing
56984,443,0.26531410217285156,7.0,8.0,65535,64240,1701227221.058286,Non-Tor,Browsing
57145,443,5.499718904495239,13.0,15.0,65535,65535,1701227310.502568,Non-Tor,Browsing
57149,443,0.3560950756072998,15.0,10.0,65535,65535,1701227311.718921,Non-Tor,Browsing
57160,443,120.83032202720642,32.0,37.0,64240,65535,1701227315.182595,Non-Tor,Browsing
57165,443,269.79880714416504,3472.0,4142.0,42340,64240,1701227316.696976,Non-Tor,Browsing
56259,443,270.17503595352173,14.0,7.0,7596,515,1701227318.297374,Non-Tor,Browsing
57129,443,45.070576906204224,2.0,3.0,16382,510,1701227330.170196,Non-Tor,Browsing
57125,443,0.06498599052429199,2.0,2.0,16384,510,1701227341.72203,Non-Tor,Browsing
57182,443,60.43178606033325,12.0,14.0,65535,64240,1701227341.722812,Non-Tor,Browsing
57421,443,60.432945013046265,10.0,12.0,65535,64240,1701227402.223989,Non-Tor,Browsing
56266,443,164.50400805473328,5.0,3.0,7606,510,1701227414.721634,Non-Tor,Browsing
57545,443,60.4207980632782,10.0,11.0,65535,64240,1701227462.603806,Non-Tor,Browsing
57580,80,1.6495099067687988,5.0,5.0,64240,64240,1701227510.318344,Non-Tor,Browsing
57590,443,60.44511604309082,11.0,12.0,65535,64240,1701227522.969438,Non-Tor,Browsing
56465,443,0.0,1.0,1.0,7990,514,1701227545.076575,Non-Tor,Browsing
57637,80,0.42717695236206055,6.0,5.0,64240,64240,1701227579.375773,Non-Tor,Browsing
57639,443,0.3329451084136963,10.0,10.0,65535,64240,1701227583.321728,Non-Tor,Browsing
443,57745,271.1608028411865,584.0,466.0,512,84,1701227926.393165,Non-Tor,Browsing
56266,443,214.78032207489014,5.0,3.0,7108,513,1701227930.364269,Non-Tor,Browsing
57869,443,0.5483839511871338,3.0,2.0,16384,510,1701227945.81099,Non-Tor,Browsing
